Date,AAPL,PETR4.SA,VALE3.SA
2024-09-20,227.1428680419922,31.82050323486328,52.85284423828125
2024-09-23,225.4208831787109,32.145206451416016,53.01873397827149
2024-09-24,226.31671142578125,32.27683639526367,55.60838317871094
2024-09-25,225.32135009765625,32.5137825012207,55.857208251953125
2024-09-26,226.4660186767578,31.81172752380371,59.21177673339844
2024-09-27,226.73475646972656,31.688871383666992,58.94451522827149
2024-09-30,231.920654296875,31.60110855102539,58.52980422973633
2024-10-01,225.1620941162109,32.44357681274414,58.81549453735352
2024-10-02,225.72946166992188,32.89113235473633,59.1380500793457
2024-10-03,224.6245880126953,33.2948112487793,58.00450134277344
2024-10-04,225.74935913085935,33.20705795288086,57.58057022094727
2024-10-07,220.66302490234372,33.67216873168945,58.08744430541992
2024-10-08,224.72413635253903,32.99644088745117,56.32721710205078
2024-10-09,228.47666931152344,32.662967681884766,56.17976379394531
2024-10-10,227.97897338867188,33.040321350097656,56.447025299072266
2024-10-11,226.4958953857422,33.01399230957031,57.25802230834961
2024-10-14,230.228515625,33.09297180175781,57.07369995117188
2024-10-15,232.76670837402344,32.82093048095703,56.37329864501953
2024-10-16,230.70628356933597,32.65419387817383,57.4515495300293
2024-10-17,231.07456970214844,32.40847396850586,55.99544906616211
2024-10-18,233.91136169433597,32.32072067260742,55.80191421508789
2024-10-21,235.384521484375,31.81172752380371,55.59916687011719
2024-10-22,234.76739501953125,31.688871383666992,55.67289733886719
2024-10-23,229.6910095214844,31.29396629333496,54.69601440429688
2024-10-24,229.5019073486328,31.504581451416016,55.01857376098633
2024-10-25,230.3380126953125,31.723976135253903,56.88938903808594
2024-10-28,232.3187713623047,31.67131996154785,57.94921112060547
2024-10-29,232.5875244140625,31.60110855102539,57.7464599609375
2024-10-30,229.03407287597656,31.46070098876953,57.57135772705078
2024-10-31,224.8634796142578,31.513357162475582,57.19350814819336
2024-11-01,221.87738037109372,31.083351135253903,57.16585540771485
2024-11-04,220.9815368652344,31.15355491638184,57.755672454833984
